island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:02:45.33,-15:29:59.98,30.68888828058344,4.641485817565817e-05,-15.499995264404062,4.6263617345942976e-05,40.69353899299757,0.4832059388232439,41.27577098469146,0.5634004435955926,30.222140500219545,0.14377173303279567,30.20870776856728,0.14387882778068947,-83.45274762711846,20.29731747077448,0,-0.07019894891212775,0.09169716083911791,e16dedcc-2366-42c7-b181-7881015f4ed6,30.00112812649111,30.00198838716878,-0.18405728922719802
2,0,0.0,0.5,02:03:12.00,-15:29:59.98,30.800000408545454,4.1305705870933114e-05,-15.499995286765289,4.1171046030186176e-05,45.69267712341182,0.48335183487099714,46.24082239579084,0.5628306616013005,30.18804778621738,0.1284512814845596,30.174609270582057,0.12853356861273366,85.6631808304802,17.31157266833349,0,-0.0856472633523666,0.09010076073474536,808422b3-73fb-4aa8-8eeb-47ec7221c43d,30.001129815304083,30.002686320195306,-0.21374758131846472
3,0,0.0,0.5,02:00:58.67,-15:29:59.98,30.244441936945943,9.173786522210045e-05,-15.49999561212377,9.171752011916112e-05,20.645375897869787,0.4823243763711005,21.217260255691752,0.5709557569913976,30.442898040219593,0.2876567743339887,30.38385158548817,0.28674118554123834,1.4202142441966668,8.20082481243668,0,-0.06579201022981018,0.07957836760552774,176ea1c2-4444-4b29-8627-54a67cf997bf,30.001123899642526,30.00024455630315,-0.06530748573589769
4,0,0.0,0.5,02:01:25.33,-15:29:59.98,30.355559900838266,7.366567920366481e-05,-15.499993545245381,7.350422290741676e-05,25.70823334317512,0.4825496931422571,26.33332608410606,0.5691077693875047,30.370148203969734,0.23006966202372894,30.35658672035658,0.22989960128254514,-3.3252948471499084,29.994222742288095,0,-0.061916017420538955,0.08465338503164688,5cac7943-5e2f-4b46-90e4-108fd2ff5a71,30.001124569279966,30.000523365963822,-0.09499542666095383
5,0,0.0,0.5,02:01:52.00,-15:30:00.01,30.46667096763164,6.168578669806646e-05,-15.500002431983342,6.156581223493163e-05,30.612632913560553,0.48312254187642184,31.09156850938071,0.564771767595671,30.24394526785941,0.1923912194968985,30.22563488745893,0.19218353044606803,3.3908879146236126,17.474626383000736,0,-0.05324645550792457,0.07108704919425667,ba7d62ea-694d-4ce5-85a0-c7a7da7cfe9f,30.001125540487717,30.000906934152432,-0.12468226670468054
6,0,0.0,0.5,02:02:18.67,-15:30:00.01,30.577774523651286,5.294565497218652e-05,-15.500002093185346,5.269498561766284e-05,35.72286651576456,0.48308739785296373,36.30307081206119,0.5653390294268622,30.266933067090704,0.16495178571545238,30.220918451972857,0.16534064984108196,-89.93427669795459,6.021620072231184,0,-0.04838622270437656,0.07430576695392384,2aa2a596-9ec2-49e5-b620-321734969270,30.001126721893396,30.001395244636246,-0.15436791428027583
7,0,0.0,0.5,02:01:52.00,-15:27:20.01,30.46666816523473,6.066094998019715e-05,-15.455558725040389,6.0440922302618105e-05,31.181547010985184,0.48294744226828046,31.74953181857062,0.5662793111854549,30.282945991754243,0.18922478151409222,30.26291032702508,0.189443570558642,89.03138362487601,15.681039658745004,0,-0.06605110750678117,0.08244514462502528,14f8787e-70d7-4d91-a961-f4c562952b56,30.000932967456528,30.00090731641218,-0.12433264358947958
8,0,0.0,0.5,02:02:18.67,-15:27:19.99,30.577779958971732,5.215101717202545e-05,-15.455553857979135,5.20757312969522e-05,36.20205132751847,0.4831066208011803,36.77385587593973,0.5650457578453554,30.251936234378544,0.16298041892278195,30.222406694136062,0.162724096268893,-1.6180598654257095,9.069363889343899,0,-0.07119248516564122,0.09064648302543885,a5bd9dc8-9f17-493b-8bb7-326b4e84da23,30.000934021657446,30.001395875083134,-0.15393737861380594
9,0,0.0,0.5,02:02:45.33,-15:27:20.01,30.688886893264517,4.590642548505093e-05,-15.455557099061638,4.582378680773047e-05,41.105155952733305,0.48325696888041714,41.66454780991275,0.5640030001272911,30.21507019854134,0.1434075045057604,30.19476184806021,0.1432248634334163,0.7348011150252212,11.112916704955571,0,-0.05719985132678389,0.08653513783484502,e0cf9567-bb27-4581-9116-67b86b0563df,30.00093533881151,30.00198923870195,-0.18354197041949963
10,0,0.0,0.5,02:03:12.00,-15:27:20.01,30.799998563241132,4.0849744380892315e-05,-15.455557596032408,4.0763946083544056e-05,46.18281801034111,0.4833309269725726,46.75732079852354,0.5633484656061062,30.194448663297173,0.12747571517012032,30.181238005031407,0.1273708096823939,-2.1857390420055385,14.38745010206019,0,-0.05951953902892269,0.07874606984060668,b1601e50-5e0d-4fe3-ba9f-cdcfaeb5e0ab,30.00093687456555,30.002687467998047,-0.2131490817591656
