island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:02:45.33,-15:29:59.98,30.688888280583566,4.641485706694889e-05,-15.499995264404005,4.626361847392957e-05,40.693538993067165,0.4832059388222005,41.27577098409414,0.5634007610663077,30.22213982521435,0.14377207093255065,30.208708442501113,0.14387915633937853,-83.45387197407283,20.2994365242769,0,-0.07019922431577472,0.09169716243612133,388e0a03-2037-4ecf-9e40-779ecc716d7d,30.001128126523202,30.001988387156477,-0.18405728929767226
2,0,0.0,0.5,02:03:12.00,-15:29:59.98,30.80000040854548,4.130570523103736e-05,-15.499995286765182,4.117104669809635e-05,45.69267712374019,0.48335183487375516,46.24082239479406,0.5628309051651013,30.188047472473272,0.1284515115598893,30.17460958345827,0.128533793069781,85.66458676575444,17.31270216818831,0,-0.08564704622235035,0.09010077532894298,cdca191a-6b85-45fa-9d7d-804dbc35af9b,30.001129815342725,30.002686320183034,-0.21374758145936754
3,0,0.0,0.5,02:00:58.67,-15:29:59.98,30.244441936945943,9.173786523236615e-05,-15.499995612123774,9.171752010317391e-05,20.64537589787005,0.4823243763712019,21.21726025567464,0.5709557574290306,30.442898036595935,0.28765677521013944,30.38385158902395,0.28674118645340224,1.4202076307193487,8.20082584417459,0,-0.06579201024218428,0.07957836774579459,47a3a63b-d97c-453e-a939-9688d12e6d91,30.001123899642508,30.000244556290824,-0.06530748571235935
4,0,0.0,0.5,02:01:25.33,-15:29:59.98,30.355559900838262,7.366567928579047e-05,-15.499993545245381,7.35042228523497e-05,25.708233343189256,0.48254969314248203,26.333326084058342,0.5691077749307476,30.370148178712938,0.23006967084226593,30.356586745540532,0.2298996107036694,-3.325254622309642,29.994336305263616,0,-0.06191602451710844,0.08465338546117487,9badaa4f-5999-4413-9785-71be62c0bdb6,30.001124569279966,30.00052336596386,-0.09499542666095383
5,0,0.0,0.5,02:01:52.00,-15:30:00.01,30.46667096763164,6.168578671517599e-05,-15.500002431983342,6.156581221183899e-05,30.6126329135589,0.4831225418764637,31.0915685093688,0.5647717699812189,30.24394526151666,0.19239122278393586,30.225634893829866,0.19218353378543795,3.390872013269778,17.474639635417653,0,-0.05324645570533114,0.0710870493600786,48c7fc36-5d79-4e45-870d-89974c86cac0,30.001125540487717,30.000906934152432,-0.12468226670468054
6,0,0.0,0.5,02:02:18.67,-15:30:00.01,30.5777745236513,5.294565477371617e-05,-15.50000209318537,5.269498581128573e-05,35.72286651582403,0.48308739785500737,36.303070811657264,0.5653390273032662,30.266932993022298,0.1649517839887828,30.220918525727594,0.16534064654092007,-89.93405312021216,6.021642109340244,0,-0.048386244174876594,0.07430577388931844,d14dd319-c465-4640-961b-706679fdc9dc,30.00112672186775,30.001395244636214,-0.1543679142333761
7,0,0.0,0.5,02:01:52.00,-15:27:20.01,30.466668165234744,6.0660949726976376e-05,-15.455558725040298,6.044092255663714e-05,31.18154701123602,0.4829474422697733,31.749531818004407,0.5662792167740139,30.28294583668538,0.18922465398737937,30.262910481201487,0.18944344139880062,89.02875372904475,15.681146941362229,0,-0.06605099267518232,0.08244514759881302,d490de94-9bfa-40be-a6d8-525a2d27aba8,30.00093296746935,30.00090731641218,-0.12433264361297565
8,0,0.0,0.5,02:02:18.67,-15:27:19.99,30.577779958971735,5.215101721651018e-05,-15.45555385797915,5.207573125076693e-05,36.20205132754256,0.4831066208016827,36.77385587584966,0.5650457708578437,30.25193619955501,0.16298043395074566,30.222406728846003,0.1627241117679548,-1.6178494298575947,9.069379817203655,0,-0.0711924960854973,0.09064648433271484,c1b23d28-5b7a-4cfd-a32a-4c9899c42370,30.00093402168313,30.00139587512003,-0.15393737868437757
9,0,0.0,0.5,02:02:45.33,-15:27:20.01,30.68888689325576,4.590621838808838e-05,-15.455557099075323,4.582399506247725e-05,41.105155855812505,0.48325696784962013,41.66454814534156,0.5639844395957714,30.215160562915123,0.1433891479211271,30.194671919955198,0.14320482257620243,1.1288570688551192,11.001208389667116,0,-0.05726078029971401,0.08652982791737594,e199cf5c-74ae-4be5-987b-831bc32d3659,30.000935338785855,30.00198923867534,-0.18354197037268086
10,0,0.0,0.5,02:03:12.00,-15:27:20.01,30.799998563241132,4.084974438431423e-05,-15.455557596032408,4.076394607999134e-05,46.182818010339034,0.48333092697257357,46.757320798523864,0.5633484663152148,30.194448660996407,0.12747571586085477,30.181238007240147,0.1273708102980168,-2.1857309835501155,14.38745362039978,0,-0.05951954109061309,0.07874606991904629,787f8386-1e0b-4ec4-ac0f-af5e999318fa,30.00093687456555,30.002687467998047,-0.2131490817591656
