island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
41,0,0.0,0.5,02:03:12.00,-15:11:19.99,30.799999645149775,3.836575299266951e-05,-15.188886176429229,3.8247909301958316e-05,49.1799128586118,0.4833948865015238,49.74007586987564,0.5622630535543751,30.177029575763505,0.11909303868401122,30.166576996863814,0.11912867203165659,-84.71431603217442,25.89376685270333,0,-0.07414161577345446,0.08424641979626661,2a0ffef1-8701-40fb-9049-c62b5ad4e85c,30.000158222989004,30.002694374849657,-0.20955803448428692
42,0,0.0,0.5,02:00:58.67,-15:11:20.00,30.24444563548804,7.829774307600273e-05,-15.188887563101403,7.82312241831562e-05,24.182218676457502,0.48246639487518533,24.804592235808162,0.5699716737403235,30.405390696680158,0.24524931399055336,30.36223068862183,0.24459285364630523,-2.1705275311185015,9.425714946693674,0,-0.056405780353483315,0.08529227883003986,7002c3b5-1371-4106-86c7-61c356e91903,30.000156055395205,30.000245306874408,-0.06402845397060558
43,0,0.0,0.5,02:01:25.33,-15:11:20.00,30.355556515580716,6.47762643488041e-05,-15.188890028308409,6.456113761643678e-05,29.206273256945614,0.4828982896120668,29.768535367704427,0.5668506067720095,30.294859567075875,0.2022599803048605,30.280618891720007,0.20232847988061486,89.15223055175252,24.263635417844338,0,-0.03972836139686109,0.07766066429775735,fbf1fbf1-c653-4297-8d36-0e05c1cc8a57,30.000156308103573,30.000524936844624,-0.09313269632930608
44,0,0.0,0.5,02:03:12.00,-15:08:40.00,30.79999965146297,3.7981957628825583e-05,-15.144443592568113,3.7854251392133165e-05,49.693693385240614,0.483351878338729,50.289742987418414,0.5630199799167267,30.189218680844604,0.11826459626563866,30.172350041877273,0.1183515842101692,-87.37002651276559,13.932524650160982,0,-0.10648446258017856,0.09001028331926339,f6326cb1-4c26-4084-86f4-affcf92868f6,30.00009164731279,30.002695514208096,-0.20895907203976966
45,0,0.0,0.5,02:00:58.67,-15:08:39.99,30.244443139997653,7.663569934293788e-05,-15.14444149053013,7.653725752021501e-05,24.69780625088099,0.48258000256074546,25.28877604725841,0.5687339468432789,30.37375109059181,0.23926362399549092,30.340195057656693,0.2387860874939192,4.3782571993470025,11.809627845374498,0,-0.044401355145506825,0.08300752244875036,5b67db6e-0537-42f0-86ab-40a947e654dd,30.000089998945363,30.000245406876733,-0.06384477857764148
46,0,0.0,0.5,02:01:25.33,-15:08:40.00,30.35555343034658,6.372166409046854e-05,-15.14444321749849,6.346213613461772e-05,29.71738854549728,0.48276854073877473,30.34279068123045,0.567698061934314,30.329877380132928,0.19878200690587508,30.298814807381962,0.1990969405806103,-89.05643613920749,10.832495259163737,0,-0.061532352673559464,0.08209091193275209,809030fb-d4f9-4f54-aeac-57895d5b76dd,30.000090189483814,30.000525151163185,-0.09286566909286241
47,0,0.0,0.5,02:01:52.00,-15:08:40.00,30.46666392132299,5.448470335004684e-05,-15.144443578967909,5.428313586186562e-05,34.70325594856666,0.48303870845749064,35.290498781103906,0.565645184011627,30.26461408023031,0.1699151672068781,30.24192457505618,0.17011617476586108,-89.03487996991265,12.969774567990514,0,-0.06084827580743041,0.0798491411924026,75098fea-3740-4664-9456-9d4bede86819,30.000090448352687,30.0009100242493,-0.12188725871251396
48,0,0.0,0.5,02:02:18.67,-15:08:39.98,30.577775703818798,4.757456558725827e-05,-15.144438858785557,4.7456808953683094e-05,39.67737820507753,0.4832550530712845,40.21786623702967,0.563895185193502,30.206840997508852,0.14837173021797354,30.2019404597802,0.1483265421335741,2.356957483045238,39.37367646941809,0,-0.054604913007523376,0.07724204644775497,d11f0a3f-e5d0-4153-8585-5d94307036c0,30.0000907710032,30.001400038351232,-0.1509099916103361
49,0,0.0,0.5,02:02:45.33,-15:08:40.00,30.68888682492837,4.2223729074598835e-05,-15.144443474819806,4.21373753685117e-05,44.695698589949615,0.4832492080927866,45.30446946945005,0.5640003427231914,30.211637536111443,0.1318659623006236,30.197692554560458,0.13173387027929034,-0.8665270405920298,13.84669151296962,0,-0.06924002656179058,0.0901917777034899,07f31db1-ac2c-4eda-860a-f640b2546b0c,30.00009117640758,30.00199519361265,-0.17993370017155322
50,0,0.0,0.5,02:03:12.00,-15:06:00.00,30.799998021418745,3.7556773586021315e-05,-15.10000100019557,3.749009452569396e-05,50.21484231615009,0.48335902604398406,50.81234562037539,0.562422469664946,30.187150816982285,0.11666619645140841,30.17152232415435,0.1165476806947907,5.655232336059853,10.609842490697782,0,-0.12591768767890188,0.09359383789094718,e418ac49-b2b1-4dd7-acb3-badc637578f1,30.000043124829087,30.00269663945526,-0.2083595577069007
50,1,0.0,0.5,02:03:07.20,-15:06:07.19,30.78000039240941,3.7560313475105804e-05,-15.101998131640961,3.748673897518984e-05,40.18632822876843,0.48335902604398406,40.77795301942495,0.5385517134504932,30.22810078961987,0.11662027276266956,30.214577559424633,0.11650199206499683,5.876085548154766,10.610588242228275,0,-0.12591768767890188,0.09359383789094718,acd15eb8-a3d7-4498-af2f-6d74740d38e0,30.000044855018313,30.002562733893697,-0.20317681679550045
51,0,0.0,0.5,02:02:45.33,-15:06:00.01,30.68889086443577,4.179370415900206e-05,-15.100001429915974,4.1697948997665435e-05,45.1337661324932,0.48336751189247923,45.664399898813954,0.5630302171427105,30.181069451307934,0.1304050601441826,30.172657972694136,0.13032579310946477,-1.6063747051243922,20.983951992808393,0,-0.1050039789523558,0.09403512806943647,905e582c-9477-470e-985a-5364c4ca8048,30.00004280322064,30.001996059011127,-0.17941888414585103
52,0,0.0,0.5,02:00:58.67,-15:06:00.03,30.244441944073728,7.510391449726378e-05,-15.100009260742484,7.492783131546332e-05,25.218652997826766,0.48254272506754636,25.83441100712897,0.569316293936244,30.368710388294247,0.2347823022655165,30.359666462974587,0.23465923400636235,-1.8379260602365555,42.31659770372825,0,-0.06533882374617421,0.08124690796107223,9dae9eeb-60e4-49c0-99e9-2c90386e62c5,30.00004200797329,30.000245509132544,-0.06366146404779943
53,0,0.0,0.5,02:01:25.33,-15:05:59.99,30.355559500659105,6.256252249268218e-05,-15.099998020405621,6.242603528328061e-05,30.210256799556785,0.4829655701122305,30.754859182082786,0.5658400620305766,30.275796115502242,0.19497771873164885,30.263173493802086,0.1948362150741559,-4.31968267394757,24.90346040826296,0,-0.057243553357933324,0.07372090767774613,600c4255-516a-43c7-bb90-31a92c0bb37a,30.000042126537913,30.000525392265736,-0.09260098492655149
54,0,0.0,0.5,02:01:52.00,-15:05:59.99,30.466666927908996,5.374151725910239e-05,-15.099998286284055,5.35132682628614e-05,35.17757698298358,0.483129883750403,35.725206649984955,0.5649873592913974,30.250704384253396,0.16747310981419244,30.21548932851242,0.1677856260708285,89.00564777090075,8.133164490283193,0,-0.05460113335262682,0.07552298245546994,948ee447-2627-40c8-b672-5c2eb3d42425,30.00004230300936,30.000910421168054,-0.12153856514669208
55,0,0.0,0.5,02:02:18.67,-15:05:59.98,30.577774920623476,4.699054097349619e-05,-15.099994446950664,4.680449520755304e-05,40.19963317688204,0.48326717548604886,40.744242539797575,0.5638861210698889,30.217853482421116,0.14633146850386647,30.188666863972294,0.14654676395387572,87.42261994877332,8.763390895786568,0,-0.03781859928802373,0.08200361017117537,150c77d5-4f0b-480b-a8f4-492c5a8facee,30.000042524047945,30.00140062596599,-0.15047710594556063
21,0,0.0,0.5,02:01:52.00,-15:19:19.99,30.466663034290473,5.777015966854443e-05,-15.322219747080855,5.763604345965235e-05,32.70704013581755,0.4830313374950075,33.26084725779039,0.5653482671928358,30.25823276088852,0.18005437463736612,30.2489899763407,0.17996537952284197,3.6958588624772903,30.444474666355053,0,-0.0680421228353333,0.08414532358543005,cb5fd333-34d3-4741-b91d-c6b2b0aae1c1,30.000463551233977,30.000908470043846,-0.12328415516036353
