island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
41,0,0.0,0.5,02:03:12.00,-15:08:40.00,30.799999651462972,3.79819574029774e-05,-15.144443592568104,3.785425163016498e-05,49.69369338545507,0.48335187834046506,50.289742986732016,0.5630200249171607,30.1892185271523,0.11826463581167028,30.172350194708727,0.11835162180899184,-87.37040323834742,13.932816345845396,0,-0.10648444083150116,0.09001029187572684,d83693ef-29c8-466d-bedf-afbf6d1bc67d,30.000091647300035,30.00269551420817,-0.2089590720634284
42,0,0.0,0.5,02:01:25.33,-15:08:40.00,30.35555343034659,6.372166408020284e-05,-15.144443217498493,6.346213615238128e-05,29.717388545494334,0.48276854073882497,30.34279068122777,0.5676980652297949,30.329877372906015,0.19878201161886527,30.29881481456506,0.1990969452540133,-89.05651145523767,10.832499935595104,0,-0.06153235152240204,0.08209091204017656,4d4cfd8c-4b6c-4061-9cfc-5aa66540d898,30.000090189496657,30.000525151150853,-0.09286566916356442
43,0,0.0,0.5,02:01:52.00,-15:08:40.00,30.46666392132299,5.448470334320304e-05,-15.144443578967904,5.4283135863641974e-05,34.70325594857255,0.4830387084575451,35.290498781087095,0.5656451853340803,30.26461407734761,0.169915168863169,30.241924577975954,0.17011617634411166,-89.03490838184884,12.969777722849068,0,-0.06084827554325066,0.07984914138865867,a9bc4e48-41e6-48ec-8eee-e8bc38a286bc,30.000090448346292,30.000910024236955,-0.12188725871246746
44,0,0.0,0.5,02:02:18.67,-15:08:39.98,30.577775703818798,4.757456558725827e-05,-15.144438858785557,4.7456808953683094e-05,39.67737820507755,0.48325505307128924,40.217866237029526,0.5638951854093108,30.20684099728916,0.14837173039696014,30.201940459945295,0.14832654241699808,2.356955072549228,39.37367950071947,0,-0.05460491300301852,0.07724204645074503,b58f95ac-9c4a-498e-906e-c3bdaa3ace73,30.0000907710032,30.001400038351232,-0.1509099916103361
45,0,0.0,0.5,02:02:45.33,-15:08:40.00,30.688886824928368,4.2223729067755026e-05,-15.14444347481982,4.21373753685117e-05,44.69569858994142,0.4832492080927914,45.30446946946039,0.564000379316377,30.21163750964965,0.13186599704397917,30.197692581386818,0.13173390514044658,-0.8652636942521325,13.846702720022627,0,-0.06923995180010219,0.09019177694244106,a2bef5dc-8b16-4d22-85e5-b60ab944e7e3,30.00009117642677,30.00199519361261,-0.17993370017162189
46,0,0.0,0.5,02:03:12.00,-15:06:00.00,30.799998021418787,3.7556773609974906e-05,-15.100001000195556,3.7490094511483114e-05,50.214842316255385,0.48335902604577297,50.812345619242414,0.562422505444261,30.187150793862646,0.11666622678882875,30.17152234643984,0.11654771125098796,5.655086801439392,10.609869108573754,0,-0.1259176675482092,0.09359384178412362,33485cbe-654f-414f-b7cc-de92f67db196,30.00004312480991,30.00269663945526,-0.2083595577069007
46,1,0.0,0.5,02:03:07.20,-15:06:07.19,30.78000039240942,3.756031349221552e-05,-15.101998131640991,3.748673894143906e-05,40.18632822867682,0.48335902604577297,40.77795301868739,0.53855179443186,30.228100608031887,0.11662037543266607,30.214577740232244,0.11650209492052124,5.875611187926365,10.610614944673799,0,-0.1259176675482092,0.09359384178412362,ed24af70-8224-417f-9b1a-cc155f87d737,30.000044855024882,30.002562733893676,-0.20317681688983558
47,0,0.0,0.5,02:02:45.33,-15:06:00.01,30.68889086443574,4.1793704186377596e-05,-15.100001429915975,4.169794898345458e-05,45.1337661324915,0.48336751189250526,45.66439989881144,0.5630301965126275,30.181069446648838,0.13040504065902386,30.172657977182304,0.13032577368370762,-1.6067183269355976,20.9839876700573,0,-0.10500401367529028,0.09403512811828982,37e4dd79-7fad-4563-9f6a-c9d7e96ddd94,30.000042803214097,30.001996058961755,-0.17941888405158332
48,0,0.0,0.5,02:00:58.67,-15:06:00.03,30.244441944073728,7.510391455201424e-05,-15.10000926074248,7.492783126039626e-05,25.218652997830166,0.4825427250676367,25.834411007115882,0.5693162965004515,30.36871037074226,0.2347823063390714,30.35966648048033,0.23465923852505177,-1.8378920489759538,42.316756923397655,0,-0.06533882370699133,0.0812469080919398,e6358869-fc3d-4543-8f99-5e15c287a315,30.00004200797329,30.000245509132544,-0.06366146404782372
49,0,0.0,0.5,02:01:25.33,-15:05:59.99,30.355559500659105,6.256252256112023e-05,-15.09999802040562,6.242603522288448e-05,30.210256799537746,0.48296557011235686,30.75485918205197,0.5658400664463792,30.27579608940062,0.1949777246468761,30.2631735198247,0.1948362215770748,-4.319657909696989,24.903559326038557,0,-0.057243560129602786,0.07372090839186832,c4f9731e-34a9-4778-839f-c187242b532b,30.000042126537913,30.000525392253376,-0.09260098492655149
50,0,0.0,0.5,02:01:52.00,-15:05:59.99,30.46666692790903,5.3741517190664345e-05,-15.099998286284023,5.351326832681025e-05,35.177576983090006,0.4831298837512,35.72520664973446,0.5649873425741336,30.250704360573323,0.16747308984936526,30.215489351761665,0.16778560569371137,89.0051956855277,8.133173998324988,0,-0.054601146040681864,0.07552298524900587,7a81c514-ccd0-462e-8b35-b861e8a9f0f9,30.000042303015853,30.00091042121745,-0.12153856524098217
51,0,0.0,0.5,02:02:18.67,-15:05:59.98,30.577774920623266,4.699054068947828e-05,-15.09999444695064,4.680449548821741e-05,40.199633177263074,0.4832671754898643,40.744242538691196,0.5638862849395103,30.217853295449913,0.14633164342323146,30.188667050130707,0.14654693581739597,87.42421982876235,8.763518909111387,0,-0.037818519734919995,0.08200362336310602,a806604a-bbdb-48e4-887f-8d3d3c37e946,30.000042524047945,30.00140062591665,-0.15047710594556066
21,0,0.0,0.5,02:01:52.00,-15:19:19.99,30.466663034290498,5.7770159524824534e-05,-15.322219747080863,5.763604360176089e-05,32.70704013578933,0.48303133749433835,33.26084725787356,0.565348239994766,30.258232818486757,0.18005433991950254,30.248989918953615,0.17996534356724184,3.6960274491083647,30.444096913622538,0,-0.06804214056675453,0.08414532191117999,df31f294-34c3-4e7c-85be-4fd51ffd335f,30.00046355119553,30.000908470043893,-0.12328415508978081
22,0,0.0,0.5,02:02:18.67,-15:19:20.00,30.577775873596853,5.0084247955769846e-05,-15.322221829306534,5.003179834339733e-05,37.68798348953067,0.4831085746851354,38.281726066838196,0.5650570140692658,30.255278112859227,0.15662624375616055,30.217388110549177,0.15630042432633282,0.6364550742855154,6.692863791566778,0,-0.0676733148232583,0.09056981604343317,bffdd6f1-1fed-4638-930c-572208409c69,30.000464308748466,30.001397657696934,-0.1526399037341974
23,0,0.0,0.5,02:02:45.33,-15:19:20.00,30.688886202094615,4.4205166601938064e-05,-15.322222977247009,4.406651615163071e-05,42.711103527576746,0.48327722153021285,43.278439479397925,0.5637712773873671,30.205205108646574,0.13781002597755607,30.19444783082068,0.13786232675349136,-88.16689905121993,25.27415288882782,0,-0.05663622223926981,0.07966325547331483,5e53c5e6-393e-4e51-8b53-343c4e51bda2,30.000465224350194,30.001991800355643,-0.18199605417125458
24,0,0.0,0.5,02:03:12.00,-15:19:19.99,30.799998233284512,3.95384711084799e-05,-15.32221944286989,3.944134445355019e-05,47.71290252621271,0.4833717506648162,48.27562561299533,0.5630585586764595,30.180078915648927,0.12335176122132964,30.175878259616766,0.12330146815171865,1.2938349239369247,31.329821540107073,0,-0.0614858687230253,0.07711531265400837,f49c10a2-9258-4975-91a7-f55e6998a7f4,30.00046628746361,30.002690929139145,-0.21135386895901856
25,0,0.0,0.5,02:01:25.33,-15:19:20.00,30.355557684213593,6.835039167970712e-05,-15.322221641467625,6.817719495266772e-05,27.671895431941927,0.48286953580852127,28.216419162732084,0.5668423687830678,30.296335570833342,0.21329115097223228,30.292121164944,0.21314927031755806,-3.3790568471696765,85.44211697265646,0,-0.042473433297724975,0.08025544592283505,8d12ee47-82af-483b-8b3c-34e264581fb7,30.000462965590263,30.00052426636068,-0.09393127918969967
26,0,0.0,0.5,02:03:12.00,-15:16:40.01,30.79999988582321,3.9141377817672e-05,-15.27778009978439,3.904768256646207e-05,48.154462330014105,0.48353915912672774,48.59677605185347,0.5608133414976911,30.142233630580588,0.12122823849358721,30.135745535624633,0.12117844910708166,-7.0728165802660135,24.44289420303531,0,-0.06196433869493945,0.08326456250444521,aae21acb-28b1-42f9-802a-8e5e6f0a39e8,30.000345556720962,30.002692088563354,-0.2107557646805227
27,0,0.0,0.5,02:01:25.33,-15:16:40.01,30.35556027625445,6.708449823108146e-05,-15.277780178255165,6.682265121149555e-05,28.222189773884256,0.48279008642716315,28.806394091114043,0.5674238412088999,30.322889488706206,0.20915111171865944,30.295816980344036,0.20943357522374367,-87.6959293154348,13.014560061204143,0,-0.05652941042602809,0.07924112818903041,36b563ab-4ba9-464c-8e58-6ca206ad24ad,30.000342700001294,30.00052449927264,-0.09366594044805004
28,0,0.0,0.5,02:01:52.00,-15:16:40.00,30.466664758729554,5.678190353348644e-05,-15.27777712701739,5.675599040166901e-05,33.235988022947396,0.48309392851240374,33.76940269306754,0.5652063616187517,30.26628524234279,0.17770248854546802,30.214561402983783,0.17718419420320158,-1.1938229708764947,5.644850417185626,0,-0.05447707243113867,0.07750197015130114,df7cfbb4-7c73-4e46-9b79-83218b93c574,30.000343199660726,30.000908866041115,-0.12293544937232181
29,0,0.0,0.5,02:02:18.67,-15:16:40.00,30.577778242362108,4.942795199422943e-05,-15.277779066435707,4.931554229692381e-05,38.20691166296796,0.4831392553712794,38.79325563960378,0.5648670534889871,30.235027133558578,0.15436557398006298,30.2253722728227,0.1542698986419875,0.5640770271834534,23.88780602083535,0,-0.06436899891731593,0.0831865565970273,6b53aab9-a64d-4fb3-b793-b654d7f7fdf2,30.00034384951122,30.00139826689686,-0.15220822704984038
30,0,0.0,0.5,02:02:45.33,-15:16:40.00,30.68888920000629,4.372483994842162e-05,-15.277778258245936,4.367000346050531e-05,43.14615455046921,0.4832442722198246,43.739541999787505,0.5639506768813074,30.223073849654366,0.13655593551348175,30.19046735463867,0.13629508924714923,-2.707684564163311,6.657462420067038,0,-0.060463156161155496,0.0808133338385661,6f441941-e86a-43ff-afb3-d2e3b2ab86ce,30.000344630511997,30.001992668526402,-0.18148138013394147
31,0,0.0,0.5,02:02:18.67,-15:13:60.00,30.57777588471303,4.8818395962175245e-05,-15.233332126208854,4.873364789403923e-05,38.65276071332213,0.4832454455797537,39.181660591938694,0.5640328187135869,30.216351547419396,0.15250149527190113,30.194410107360223,0.15231812075172385,0.5629573679818595,10.96013236556444,0,-0.07138113308491065,0.08896988674375372,96cc5981-a1bc-498c-a6f2-461390ead0fe,30.000241434068556,30.00139885159241,-0.15177517281575117
32,0,0.0,0.5,02:02:45.33,-15:13:59.99,30.688888873046196,4.319538500037711e-05,-15.23332939489321,4.3104380536007625e-05,43.6874527310869,0.48326956014484823,44.26951020350556,0.5634391285089426,30.206769937935164,0.13446893500187135,30.193857078644854,0.1343692640371774,4.310421748487933,15.084200456535061,0,-0.07520792470831163,0.08972927657962619,a1559cc2-e8ee-43e8-b85d-ce36200f3ccd,30.000242082877957,30.001993515228243,-0.18096567091564714
33,0,0.0,0.5,02:03:12.00,-15:13:60.00,30.80000027045473,3.8760863549136775e-05,-15.233333088260762,3.864956940446973e-05,48.65527084109356,0.4834728978383147,49.15256624586328,0.562266803861522,30.156949680825797,0.12082510371012407,30.151845057564753,0.12085300261002686,88.21903869818586,73.56824673612459,0,-0.053322730473047614,0.07520844131402737,f0ec4ad9-b003-4d8c-8f66-935962a6b8dd,30.000242861162437,30.002693236685875,-0.21015709471513688
34,0,0.0,0.5,02:01:25.33,-15:13:59.99,30.355550098658114,6.60389153497414e-05,-15.233331239521979,6.580673462686093e-05,28.65862017916986,0.48282282570483925,29.236764617695872,0.5671771922173894,30.310482177106543,0.20598237131393055,30.292475858485815,0.2061716917430263,87.70963695160458,19.324545404187113,0,-0.062420001725058794,0.07658256080995249,ac3bb3f4-4765-42b9-b5f3-8ae284abb92f,30.000240469297463,30.000524693627575,-0.09339714241032854
35,0,0.0,0.5,02:01:52.00,-15:13:60.00,30.46667354870182,5.611176359802083e-05,-15.233332026282167,5.590228524177121e-05,33.702177037706406,0.48301039818369457,34.286955112340195,0.5657948445293494,30.271486480347807,0.17492054616973535,30.24797997663624,0.1751240762645993,-88.08315053164499,12.815532846489624,0,-0.0598315456843839,0.0776795314660024,eb6abd45-d0eb-4d20-860a-99cdc8bb80bc,30.000240894925106,30.000909288804184,-0.12258850357377106
36,0,0.0,0.5,02:01:52.00,-15:11:20.02,30.4666698743851,5.5243933564784146e-05,-15.188893755227232,5.5116592912796136e-05,34.19368315267286,0.4830851240894189,34.74536701648298,0.565175865808763,30.24628369918864,0.1724348352359155,30.236877987203513,0.17235175395781965,1.9250441638057758,28.098455060186048,0,-0.07136724144447308,0.08426909068895323,c928153c-0b3e-421f-9c05-3c9e47ddddd3,30.0001566553274,30.00090966143576,-0.12223825953602589
37,0,0.0,0.5,02:02:18.67,-15:11:20.01,30.5777751072877,4.813933980931449e-05,-15.188891167026174,4.8034378975714276e-05,39.20578792031006,0.483251399624586,39.739289898208206,0.5621466019241268,30.21034912843011,0.148288692772468,30.198074359929475,0.14818888005890013,9.273796445985644,18.164804831525693,0,-0.05511538271620489,0.08291321508294355,127a3e00-5eb6-467b-b304-9a5645199ba5,30.000157084530482,30.0013994423922,-0.15134250301297442
38,0,0.0,0.5,02:02:45.33,-15:11:20.00,30.688885989387394,4.273531789079117e-05,-15.188889861798554,4.260919934573337e-05,44.15918909933544,0.4833572774717302,44.69346758510371,0.562524839039878,30.185461597473783,0.13258800899080525,30.178581890529664,0.13261659513252247,-84.20850089368582,45.90429406860204,0,-0.04074804333316004,0.07851653809024661,7ca5db71-d411-4cc0-8846-52fce5581c8c,30.000157608998915,30.001994344603773,-0.18044929181682393
39,0,0.0,0.5,02:03:12.00,-15:11:19.99,30.799999645149775,3.836575296529428e-05,-15.188886176429229,3.824790933215638e-05,49.17991285863235,0.4833948865017417,49.740075869815385,0.5622630648624359,30.17702955585167,0.11909304866646851,30.166577016691814,0.11912868169142037,-84.71436507717063,25.893895901582763,0,-0.07414160085568611,0.08424642098659255,a3b38a20-5777-483f-89d6-018f137733e5,30.000158222989004,30.002694374849657,-0.20955803448428692
40,0,0.0,0.5,02:01:25.33,-15:11:20.00,30.35555651558071,6.47762642256156e-05,-15.188890028308391,6.456113774611083e-05,29.206273256997708,0.4828982896131945,29.768535367580267,0.5668505914315483,30.29485952083178,0.20225995851111572,30.280618937681304,0.20232845718168893,89.15175289127804,24.263779078000887,0,-0.03972835044529078,0.07766066518003362,8f15f8ee-38cc-4742-8713-e4173e802d77,30.000156308097164,30.000524936832296,-0.09313269630573194
1,0,0.0,0.5,02:02:45.33,-15:29:59.98,30.68888828058372,4.641485555445044e-05,-15.499995264403914,4.6263619982056525e-05,40.69353899316119,0.48320593882078744,41.27577098328654,0.5634011901993407,30.222138912501986,0.1437725277325379,30.20870935373212,0.1438796004058676,-83.45539226568295,20.30230256715372,0,-0.0701995967509905,0.09169716459261625,a1157fd5-3b3e-4712-96fb-99545aa1219d,30.00112812649111,30.001988387156494,-0.18405728922719816
2,0,0.0,0.5,02:03:12.00,-15:29:59.98,30.80000040854553,4.130570440978076e-05,-15.499995286765062,4.117104750633871e-05,45.692677124155075,0.48335183487723316,46.240822393533726,0.5628312130019623,30.188047075797872,0.12845180229070882,30.174609979091645,0.12853407681533727,85.66636440630099,17.314130560046202,0,-0.08564677172177346,0.0901007937804606,392cf0aa-b24f-4de9-89f8-2b0e6a4e6d74,30.001129815317004,30.002686320183034,-0.2137475813889163
