island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:02:45.33,-15:29:59.98,30.688888280583644,4.6414856218307226e-05,-15.499995264403948,4.626361931237e-05,40.69353899311991,0.483205938821412,41.27577098364123,0.5634010017396097,30.2221393133464,0.14377232711835988,30.20870895350356,0.14387940539210498,-83.45472454694384,20.30104368200706,0,-0.07019943316921065,0.09169716364588558,a52c3462-3983-437d-9342-88222fd21a57,30.001128126497505,30.001988387119635,-0.18405728922705764
2,0,0.0,0.5,02:03:12.00,-15:29:59.98,30.800000408545497,4.130570476223672e-05,-15.499995286765108,4.117104716172548e-05,45.69267712397735,0.4833518348757405,46.2408223940738,0.5628310811252885,30.188047245735742,0.12845167774386868,30.1746098095454,0.12853395525757633,85.66560266101284,17.313518435893158,0,-0.08564688934456757,0.09010078587386966,8933d0af-29e0-4ec4-a191-25a23dd94e28,30.001129815304257,30.0026863201954,-0.2137475814126176
3,0,0.0,0.5,02:01:25.33,-15:29:59.98,30.35555990083826,7.366567934396282e-05,-15.499993545245381,7.350422279728264e-05,25.70823334320042,0.48254969314266316,26.333326084020662,0.5691077793234606,30.370148158674198,0.2300696778447101,30.35658676541674,0.2298996181543345,-3.32522285331725,29.99442599615904,0,-0.06191603012182958,0.08465338580040818,267b17de-89f4-47e6-be8d-fcbc3ad5dbb5,30.001124569286336,30.000523365963847,-0.09499542663737925
4,0,0.0,0.5,02:01:52.00,-15:30:00.01,30.46667096763164,6.168578671859788e-05,-15.500002431983342,6.156581218519364e-05,30.61263291354819,0.48312254187643816,31.09156850937831,0.5647717718332366,30.24394525646991,0.19239122527793837,30.225634898908528,0.19218353643472663,3.390859420377392,17.47465015673092,0,-0.05324645587078453,0.07108704949180684,ace7c8dd-8cab-4503-984c-4b250ed7b6f0,30.001125540487717,30.000906934152432,-0.12468226670468054
5,0,0.0,0.5,02:02:18.67,-15:30:00.01,30.577774523651296,5.294565462999628e-05,-15.500002093185376,5.269498595517064e-05,35.72286651586507,0.4830873978564917,36.30307081136264,0.565339025776127,30.26693293905985,0.16495178268417512,30.220918579221347,0.16534064422902783,-89.93389052718825,6.021658135542209,0,-0.048386259787537994,0.07430577893269531,7f212fc7-6d38-486e-83ca-921b0428e85b,30.001126721861354,30.00139524463619,-0.1543679142333172
6,0,0.0,0.5,02:01:52.00,-15:27:20.01,30.466668165234758,6.066094952508412e-05,-15.455558725040236,6.0440922721838326e-05,31.181547011422303,0.48294744227089087,31.74953181758384,0.5662791464976882,30.282945721528257,0.18922455904257074,30.262910595771736,0.18944334527606435,89.02680087651052,15.681226690782996,0,-0.0660509074298073,0.08244514980686742,0ba3d4ea-7df1-445a-8aeb-a9ba3b1b77b4,30.00093296746935,30.00090731641223,-0.1243326436129757
7,0,0.0,0.5,02:02:18.67,-15:27:19.99,30.577779958971732,5.215101725415111e-05,-15.455553857979151,5.207573121346343e-05,36.20205132756011,0.48310662080204747,36.773855875784,0.5650457803659052,30.251936174115038,0.16298044493073396,30.22240675420719,0.16272412309369863,-1.6176959819457737,9.069391431776094,0,-0.07119250404750788,0.09064648528600752,0638d4d4-7d55-4aa7-8f75-f1e4c071b669,30.000934021676727,30.001395875120046,-0.15393737868437757
8,0,0.0,0.5,02:02:45.33,-15:27:20.01,30.68888689325576,4.5906218391510284e-05,-15.455557099075323,4.5823995058924545e-05,41.105155855805904,0.4832569678496294,41.664548145332205,0.5639844400046408,30.215160561251846,0.1433891483111972,30.19467192167484,0.14320482303223636,1.1288498109130578,11.001210407423606,0,-0.05726077921095645,0.08652982801315155,0437abfd-a268-47d3-a0ab-13143a9131f5,30.000935338785855,30.00198923867534,-0.18354197037268086
9,0,0.0,0.5,02:03:12.00,-15:27:20.01,30.799998563241132,4.084974438773612e-05,-15.455557596032408,4.076394607999134e-05,46.182818010337385,0.483330926972582,46.75732079852411,0.563348466839001,30.194448659217098,0.1274757163340582,30.181238009154576,0.12737081079060034,-2.1857245495497652,14.38745642955687,0,-0.05951954273675318,0.07874606998167502,eefbdd5c-e5bc-477e-886e-ee417329f44a,30.00093687456555,30.002687467998047,-0.2131490817591656
10,0,0.0,0.5,02:01:25.33,-15:27:20.00,30.355555397745967,7.227757899780228e-05,-15.455555930954953,7.192776664410871e-05,26.223560457187293,0.4827108375784937,26.81578936013095,0.5685902430333009,30.36255141256858,0.2255979443655375,30.31267353691696,0.22592015627998618,-89.32320037334298,7.487893762501491,0,-0.027070809547483404,0.07144700211073336,5591fed7-988b-4018-886b-24237bc8bbf6,30.000932110594988,30.000523580116607,-0.0947284538720625
