island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:03:12.00,-15:19:19.99,30.799998233284512,3.953847112901131e-05,-15.322219442869892,3.944134441979941e-05,47.71290252621418,0.48337175066484694,48.27562561298534,0.5630585618679285,30.180078902988203,0.12335176391991572,30.175878272226516,0.12330147114703237,1.293784051250436,31.329960575905528,0,-0.061485880268169715,0.07711531290575978,840d5629-5608-42e8-a44d-cb1b8d230998,30.000466287470047,30.002690929139128,-0.21135386898257746
2,0,0.0,0.5,02:03:12.00,-15:11:19.99,30.799999645149775,3.8365752824996274e-05,-15.188886176429229,3.824790945827772e-05,49.17991285872504,0.48339488650273066,49.740075869544526,0.5622631155834801,30.17702946623661,0.11909309323882189,30.16657710591906,0.11912872522179731,-84.71458557651266,25.894476104249264,0,-0.07414153378710428,0.08424642633815074,99238f3b-25d5-429f-8935-6cb92947e252,30.000158222989004,30.002694374849657,-0.20955803448428692
3,0,0.0,0.5,02:03:12.00,-15:08:40.00,30.799999651463082,3.7981956533804076e-05,-15.144443592568095,3.785425250235619e-05,49.69369338623819,0.483351878346982,50.289742984136836,0.5630201942967231,30.189217948631345,0.11826478452487708,30.17235077039628,0.11835176346653488,-87.37182209672089,13.933915088281775,0,-0.1064843589108132,0.09001032409798396,e76f4cd9-0c63-4492-8b46-edc69c942bb0,30.00009164728707,30.002695514195757,-0.2089590719692718
