island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:03:12.00,-15:29:59.98,30.800000408545582,4.130570330108436e-05,-15.499995286764893,4.117104861478538e-05,45.69267712471475,0.48335183488193467,46.24082239183059,0.5628316287571848,30.188046539730994,0.1284521949880707,30.174610513733565,0.12853445998698304,85.66876633725036,17.316061072337646,0,-0.08564640088112324,0.09010081870991506,001165ab-5e99-4b25-80a2-5b299f79611f,30.00112981533619,30.002686320183034,-0.2137475813888349
2,0,0.0,0.5,02:03:12.00,-15:27:20.01,30.799998563241132,4.084974439115802e-05,-15.455557596032408,4.076394606400413e-05,46.18281801033136,0.4833309269725915,46.75732079852413,0.5633484689929832,30.194448651981027,0.12747571827170628,30.181238016345244,0.12737081282212676,-2.185698924539647,14.387467618739347,0,-0.059519549293494116,0.07874607023109395,0089958e-12ef-47c5-b89e-9b6996a04ddc,30.00093687456555,30.002687467998047,-0.2131490817591656
3,0,0.0,0.5,02:03:12.00,-15:24:40.01,30.79999890158386,4.041857157001286e-05,-15.411112793195176,4.034158299326407e-05,46.664055360812924,0.48335532076058185,47.22384699541282,0.5630776465572681,30.189704355390283,0.12610352109237072,30.17258291379544,0.12597590100083836,2.179321665907105,10.878599549506513,0,-0.06898239185148339,0.08975239153971434,d4d5533b-14f0-4ad3-b4b8-05dde3c3efc2,30.00076195904092,30.002688627636584,-0.21255094113252887
4,0,0.0,0.5,02:03:12.00,-15:21:59.99,30.799999424188133,4.0009731424419555e-05,-15.366664315326803,3.987656284465402e-05,47.15913725717849,0.48342038389992603,47.67770938559792,0.5626408696855001,30.173735868125164,0.12466344112223157,30.158562869780294,0.12475845896714219,88.11895959696852,15.706104240245438,0,-0.06085721425456838,0.08145188922013703,63cdcdca-50c1-4e95-a04e-bb782ce18a46,30.0006050882534,30.002689785750956,-0.21195267140039062
5,0,0.0,0.5,02:03:12.00,-15:19:19.99,30.799998233284512,3.9538471125589414e-05,-15.322219442869892,3.9441344421575764e-05,47.71290252621398,0.4833717506648466,48.2756256129867,0.5630585614434529,30.18007890468228,0.12335176359381192,30.175878270506587,0.12330147071568508,1.2937909483857122,31.329941726065293,0,-0.06148587870293371,0.0771153128716285,19d5cd2e-1bb7-46db-ac1d-42ad9629f40f,30.000466287470047,30.002690929139128,-0.21135386898257746
6,0,0.0,0.5,02:03:12.00,-15:16:40.01,30.799999885823176,3.9141377954549694e-05,-15.277780099784373,3.904768244389345e-05,48.154462330080335,0.4835391591276293,48.59677605164152,0.5608134075217446,30.1422335330658,0.1212282966423194,30.135745632877182,0.12117850846402121,-7.072585839896496,24.443408717897398,0,-0.06196432872291357,0.08326456727571349,7c1dfdd1-bed6-4459-a69d-7d742a610fac,30.0003455567274,30.002692088575643,-0.2107557647040062
7,0,0.0,0.5,02:02:45.33,-15:16:40.00,30.68888920000629,4.372483996895303e-05,-15.277778258245936,4.367000345517624e-05,43.146154550405555,0.48324427221982813,43.73954199976547,0.563950678538064,30.22307384045297,0.13655593706740213,30.190467363832965,0.13629509095883177,-2.707668710517884,6.657465828238923,0,-0.060463149157046266,0.08081333464506242,6231485f-a9af-44af-8701-97c0c5f5cc25,30.000344630511997,30.001992668526402,-0.18148138013394147
8,0,0.0,0.5,02:03:12.00,-15:13:60.00,30.80000027045473,3.876086254994124e-05,-15.233333088260716,3.864957041521677e-05,48.65527084123565,0.4834728978357259,49.152566245440454,0.562266951136856,30.156949154590546,0.12082523660224474,30.15184558405677,0.12085312765120983,88.22126965794527,73.60029063551346,0,-0.05332288295440003,0.075208436314142,97ff72ec-5e8d-4add-8ba3-548482eecbff,30.000242861136677,30.002693236636613,-0.21015709462094118
9,0,0.0,0.5,02:02:45.33,-15:11:20.00,30.68888598938739,4.273531781893122e-05,-15.188889861798565,4.260919940968222e-05,44.159189099358386,0.48335727747191454,44.69346758504111,0.5625249101705777,30.185461551552464,0.13258807808758635,30.178581936261097,0.13261666364891844,-84.20878505001957,45.90509457294876,0,-0.04074808006758615,0.0785165388307133,027938c4-7071-4c5c-b17a-fc72b75bc953,30.000157609005264,30.001994344603755,-0.1804492917932499
10,0,0.0,0.5,02:03:12.00,-15:11:19.99,30.799999645149775,3.83657528489496e-05,-15.188886176429229,3.8247909442290506e-05,49.17991285871244,0.4833948865025958,49.740075869581304,0.5622631087238221,30.17702947845906,0.11909308717644239,30.166577093810744,0.11912871936912153,-84.71455565162931,25.894397360961996,0,-0.07414154288929134,0.08424642561186897,ab781fdc-60e8-4b1d-8a65-4eba4bc50369,30.000158222989004,30.002694374849657,-0.20955803448428692
11,0,0.0,0.5,02:03:12.00,-15:08:40.00,30.799999651463054,3.798195663988429e-05,-15.144443592568095,3.785425240465656e-05,49.69369338614875,0.48335187834621507,50.28974298444342,0.563020174376248,30.189218016638755,0.11826476706048229,30.17235070264665,0.11835174678064245,-87.37165509000907,13.93378575021139,0,-0.10648436855403828,0.09001032030567889,ca0ad675-bc57-4c2b-b9b6-64d1dd68b1a9,30.000091647312832,30.002695514158717,-0.20895907206334868
12,0,0.0,0.5,02:02:45.33,-15:08:40.00,30.688886824928392,4.222372906091122e-05,-15.144443474819838,4.213737537384077e-05,44.69569858992621,0.48324920809279304,45.30446946948239,0.5640004370879597,30.211637468156987,0.13186605202078175,30.197692623562595,0.131733960052206,-0.8632657563386631,13.846719809500476,0,-0.06923983347531625,0.09019177574326807,048fd2a3-94ff-41e3-b828-3745c7fcb61a,30.00009117640762,30.001995193661998,-0.17993370019520094
13,0,0.0,0.5,02:03:12.00,-15:06:00.00,30.799997175911486,3.758631613345296e-05,-15.10000108503125,3.748881306009366e-05,50.20624499176497,0.4833158962097821,50.83591343563625,0.5634199750752762,30.19064358057187,0.11723984608856536,30.187190502582517,0.11723964680732855,-88.80659063181706,100.32124085127538,0,-0.3305563261158285,7.942280367603299,d08ca5f4-3da5-42d5-9272-6a59c2b10ff7,30.000043124884808,30.00269663372732,-0.20835933843052667
