island,source,background,local_rms,ra_str,dec_str,ra,err_ra,dec,err_dec,peak_flux,err_peak_flux,int_flux,err_int_flux,a,err_a,b,err_b,pa,err_pa,flags,residual_mean,residual_std,uuid,psf_a,psf_b,psf_pa
1,0,0.0,0.5,02:02:45.33,-15:29:59.98,30.688888280583882,4.641485422673686e-05,-15.499995264403855,4.626362133208772e-05,40.69353899324426,0.48320593881953894,41.27577098257252,0.5634015695603631,30.222138105561005,0.1437729314740286,30.208710159602155,0.1438799930451543,-83.45673658912546,20.30483759721664,0,-0.07019992612285605,0.09169716649672523,bebce7c0-595e-4db1-8235-b3a0c55698c0,30.001128126510295,30.001988387181076,-0.18405728922705772
2,0,0.0,0.5,02:03:12.00,-15:29:59.98,30.800000408545554,4.1305703756197386e-05,-15.49999528676496,4.1171048177801595e-05,45.69267712448856,0.4833518348800303,46.240822392519455,0.562831460628245,30.18804675650301,0.12845203617738596,30.174610297505097,0.12853430504092364,85.66779488091089,17.31528021330709,0,-0.08564655085834323,0.09010080862753611,90aa25d8-866d-4869-b237-1466f2b3158d,30.001129815342587,30.00268632018305,-0.21374758138891642
3,0,0.0,0.5,02:02:18.67,-15:30:00.01,30.577774523649968,5.2945913390843106e-05,-15.500002093174729,5.269472739577452e-05,35.722866387303036,0.483087395092684,36.30307132727145,0.5653399344990683,30.26703102121545,0.16495184428834697,30.22082117322395,0.16534271800495404,89.76659723532656,5.992604791378982,0,-0.04835557066945209,0.07429655505392785,d8964e17-0902-4921-9721-2e8965e5be47,30.001126721912676,30.00139524463772,-0.15436791435083966
4,0,0.0,0.5,02:02:18.67,-15:27:19.99,30.577779958971743,5.2151017326011064e-05,-15.455553857979183,5.207573113530373e-05,36.20205132759848,0.4831066208028509,36.77385587563983,0.5650458012407723,30.251936118385622,0.1629804690970661,30.222406809800727,0.16272414789961862,-1.6173593281485805,9.069416914706897,0,-0.07119252151367514,0.09064648737755995,1e7ad38d-6c70-4c02-8dc0-727339110212,30.000934021689524,30.001395875083077,-0.1539373786843775
5,0,0.0,0.5,02:02:45.33,-15:27:20.01,30.68888689325576,4.59062184051979e-05,-15.455557099075323,4.582399505181911e-05,41.105155855789285,0.48325696784965766,41.66454814530838,0.5639844410232961,30.215160557065115,0.1433891493087982,30.194671925810393,0.14320482414170946,1.128831278692617,11.001215559280865,0,-0.05726077643097664,0.08652982825773,ba2e68f1-8e7b-4e2b-9cdb-915c5dba743b,30.000935338785855,30.00198923867534,-0.18354197037268086
6,0,0.0,0.5,02:03:12.00,-15:27:20.01,30.799998563241132,4.084974439457993e-05,-15.455557596032408,4.076394607643863e-05,46.182818010333165,0.4833309269725872,46.757320798524795,0.5633484681830878,30.194448654594648,0.12747571754267267,30.181238013774202,0.12737081205884007,-2.1857080560030164,14.38746363083476,0,-0.05951954695656521,0.07874607014222454,3f4f7478-4c6f-40e8-aad6-43dbb013d008,30.00093687456555,30.002687467998047,-0.2131490817591656
7,0,0.0,0.5,02:03:12.00,-15:24:40.01,30.79999890158386,4.041857156316898e-05,-15.411112793195176,4.034158299326407e-05,46.66405536081665,0.483355320760537,47.223846995431025,0.5630776454152207,30.189704357635637,0.1261035200435582,30.172582911582804,0.1259758999655464,2.1793329296091613,10.878596421346245,0,-0.0689823899943893,0.08975239131347404,fc5a4cf1-40b2-4cde-86d1-3ac0587fc00f,30.00076195904092,30.002688627636584,-0.21255094113252887
8,0,0.0,0.5,02:02:18.67,-15:24:40.00,30.577778318674472,5.145839843723166e-05,-15.411110865355782,5.134509853554903e-05,36.688427937869584,0.4831921646330321,37.22172515131649,0.5644557591780999,30.224180163411063,0.16069118934091314,30.21249428417789,0.16057619155641473,0.7531589614826529,21.572789049869012,0,-0.059402808561387375,0.07747161341099072,066df7a5-dce8-415a-a537-24b4159b50e5,30.00075939978535,30.001396469461255,-0.15350491321833012
9,0,0.0,0.5,02:02:45.33,-15:24:40.00,30.688889554278596,4.5304725146732414e-05,-15.41111120024603,4.514036202962757e-05,41.667167096553584,0.48335947317967687,42.166646741223076,0.5632045165180661,30.191359676746718,0.14120844471044375,30.169960702454098,0.14135835809622138,89.89817157574745,11.677789248644109,0,-0.05586947241321916,0.07364752082299852,b186f75f-3290-49b9-aba5-d74478c15955,30.000760573605508,30.001990111580824,-0.18302752914173417
10,0,0.0,0.5,02:02:45.33,-15:22:00.01,30.688882589826726,4.4774873244266646e-05,-15.36666927291784,4.46613084132963e-05,42.14749823185552,0.483305724087738,42.68483599740546,0.5635401038502716,30.193612665462158,0.13970010211211853,30.190256913427703,0.13966825270991642,1.0825303767198682,47.97287514834647,0,-0.0669875169276436,0.08527776327436867,82c48156-d3c0-4b96-8727-844617873dd8,30.00060387861143,30.00199092627202,-0.1825104694813489
